Cim,Szerzo,Megjegyzes
Nagy magyarok élete 1-12,Benedek Elek,Gyerekszóba/ 1-es szekrény/ 1-es polc/ elso és 2-dik könyv
János vitéz,Petofi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 10-dik könyv
Beszterce ostroma,Mikszáth Kálmán,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 11-dik könyv
Bánk bán,Katona József,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 12-dik könyv és Gyerekszoba/ 4-es szekrény/ 2-es polc/ elso könyv
Csongor és Tünde,Vörösmarthy Mihály,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 13-dik könyv
Válogatott versek,Petofi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 14-dik könyv és Hálószoba/ kicsi szekrény/ 1-es polc/ 5-dik könyv
Józan okos mérték (füveskönyv),Arany János,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 15-dik könyv
A tudás felfedezése,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 21-dik könyv
Az emberiség története gyerekeknek,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 22-dik könyv
Képes gyermeklexikon,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 23-dik könyv
Ablak-zsiráf,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 25-dik könyv
Képes diáklexikon (kézikönyv a korszeru alapmuveltséghez),Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 26-dik könyv
Szókincstár kislexikon,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 27-dik könyv
Történelem III. (gimnázium),Závodszky Géza,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 28-dik könyv
Védet erdei növények,Varga Emma,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 29-dik könyv
A világörökség legizgalmasabb helyszínei,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 3-dik könyv
Idovándor (magyar nyelv és irodalom ált. Iskola 3),Dr. Lovász Gabriella,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 30-dik könyv
Technika 4. osztályosoknak,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 31-dik könyv
Papírmesék,Zsigmond Márton,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 32-dik könyv
Minden napra egy kérdés,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 33-dik könyv
A milleniumi Magyarország,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 34-dik könyv
Lássunk világot!,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 35-dik könyv
Családi világatlasz,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 4-dik könyv
"""Az istenek kapuja, a világ szent helyei""",Szilárdi Réka,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 6-dik könyv és Hálószóba/ 1-es szekrény/ 2-es polc/ elso könyv
Magyar kastélyok,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 8-dik könyv
Erdély képes története (kezdetektol 1990-ig),Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 9-dik könyv
1000 de minuni architecturale,Névtelen,Gyerekszoba/ 2-es szekrény/ 1-es polc/ 2-dik könyv
Civiliza?ii antice,Névtelen,Gyerekszoba/ 2-es szekrény/ 1-es polc/ 5-dik könyv
Királyok könyve,Névtelen,Gyerekszoba/ 2-es szekrény/ 1-es polc/ 6-dik könyv
"""Bumm,  a világegyetem teljes története""",Brian May,Gyerekszoba/ 2-es szekrény/ 1-es polc/ elso könyv
Európa története 1789-1914,Martin Roberts,Gyerekszoba/ 2-es szekrény/ 1-es polc/ 3-dik könyv
Európa története 1900-1973,Martin Roberts,Gyerekszoba/ 2-es szekrény/ 1-es polc/ 4-dik könyv
Magyar történelem gyerekeknek,Névtelen,Gyerekszoba/ 2-es szekrény/ 2-es polc/ elso könyv
Csodálatos állatvilág 1-4,Névtelen,Gyerekszoba/ 2-es szekrény/ 2-es polc/ elsotol 4-dik könyvig
Magyar helyesírási szótár,Névtelen,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 10-dik könyv
Kaland a legendák földjén,Marton Lili,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 10-dik könyv
A noszty fiú esete Tóth Marival,Mikszáth Kálmán,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 11-dik könyv
A láthatatlan ember,Gárdonyi Géza,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 12-dik könyv
Petofi Júliája,Kozma Dezso,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 13-dik könyv
Ördögszekér,Makkai Sándor,"""Gyerekszoba/ 2-es szekrény/ 2-es polc/ 14-dik könyv és Hálószóba/ 6-os szekrény/ 2-es polc/ 4-ik könyv"""
Pöttöm Anna és más mesék,H. C. Andersen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 37-dik könyv
Talpas töténetek és a kíváncsi Hold,Kányádi Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 38-dik könyv
Bihari népmesék,Fábián Imre,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 39-dik könyv
"""Muki, egy medvebocs története""",Panigay Róbert,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 4-dik könyv
Mátyás az igazságos,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 40 és 41-dik könyv
Világszép asszony,Koczkás Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 42-dik könyv
Szíriusz és az osember,László Endre,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 43-dik könyv
A törökfejes kopja,Kolozsvári Grandpierre Emil,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 44-dik könyv
Nils Holgerson utazásai,Selm Lagerlöf,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 45-dik könyv
Bölcso és bagoly,Tamási Áron,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 46-dik könyv
Tom Sawyer kalandjai,Mark Twain,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 48-dik könyv
Sepsiszentgyörgy gyerekeknek,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 49-dik könyv
Burgum Bélus mesterdetektív  nyomozásai az óceánba,Szávai Géza,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 5-dik könyv
Schi?e,Ion Luca Caragile,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 50-dik könyv
Lekvár Misi és Borzas Peti,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 51-dik könyv
A nagy meglepetés,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 52-dik könyv
Meseország kapuja,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 53-dik könyv
Aranyréten aranyfu,Benedek Elek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 54-dik könyv
A háromágú tölgyfa tündére,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 55-dik könyv
A titkos kert,Frances Hodson Burnett,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 56-dik könyv
Nagy Indiánkönyv,J. F. Cooper,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 57-dik könyv
Winnetou kalandjai,Karl May,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 58-dik könyv
Winnetou,Karl May,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 59-dik könyv
Manótánc,Kovács András Ferenc,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 60-dik könyv
A gazdaság színpadán,Lányiné Garay Katalin,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 61-dik könyv
Rajzos zenetöténet,Bernard Deyriés,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 62-dik könyv
365 napra 365 mese,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 63-dik könyv
Hetvenhét magyar népmese,Illyés Gyula,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 7-dik könyv
Szalonnafa,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 8-dik könyv
Bibliai töténetek gyerekeknek,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 9 és 10-dik könyv
"""A felhok között,  a világ legmagasabb csúcsai""",Stefano Ardito,Gyerekszóba/ 1-es szekrény/ 3-as polc/ elso könyv
Híres helyek,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 10-dik könyv
Színes tudomány,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 11-dik könyv
A világ lovainak nagy katalógusa,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 12-dik könyv
A barokk,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 13-dik könyv
Zöldvarázs,Decsi Diána,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 14-dik könyv
Nemzeti parkok Magyarországon,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 15-dik könyv
Budapest és környéke,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 16-dik könyv
Dinoszaurusz enciklopédia,Macmillan,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 17-dik könyv
Görögök-Mítoszok és legendák,Alain Quesnel,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 18-dik könyv
Egyiptom-Mítoszok és legendák,Alain Quesnel,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 19-dik könyv
A legszebb nemzeti parkok,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 2-dik könyv
Az univerzum felfedezése,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 20-dik könyv
Pacsirta,Kosztolányi Dezso,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 16-dik könyv
Balladák,Arany János,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 17-dik könyv
